gt_word,ocr_word,word_length,word_cer
nominees,478,8,1.0
.,_,1,1.0
he,7205,2,2.0
believes,#_,8,1.0
large,lasg,5,0.4
majority,~,8,1.0
of,za6,2,1.5
labour,x,6,1.0
m,?,1,1.0
ps,470,2,1.5
are,zzzz,3,1.3333
likely,,6,1.0
to,,2,1.0
that,z_z,4,1.0
the,7,3,1.0
house,7_,5,1.0
of,z_,2,1.0
lords,3ll/,5,1.0
should,22,6,1.0
be,~lek5,2,2.0
abolished,,9,1.0
institution,ahz;~,11,1.0
.,,1,1.0
opposed,27f6,7,1.0
the,+e/,3,1.0
government,2,10,1.0
bill,(7b,4,1.0
which,~a5i~z,5,1.0
brought,2//,7,1.0
turn,74,4,1.0
down,~,4,1.0
the,clo+,3,1.3333
foot-griffiths,7l,14,1.0
resolution,73/_3-#k,10,1.0
.,756,1,3.0
mr.,ez:_,3,1.3333
foot's,za,6,1.0
line,4a,4,1.0
will,2t,4,1.0
be,ze,2,0.5
that,_,4,1.0
as,x,2,1.0
labour,7,6,1.0
m,,1,1.0
ps,,2,1.0
into,alo,4,0.75
existence,24,9,1.0
",",ole,1,3.0
they,aacs_,4,1.25
should,1,6,1.0
not,lees,3,1.3333
now,odaulo,3,2.0
put,n0,3,1.0
though,tou&l,6,0.5
they,ley,4,0.5
may,aay,3,0.3333
gather,aalues,6,0.6667
some,solr_,4,0.75
left-wing,lek,9,0.7778
which,0lc,5,0.8
would,ljalala,5,1.2
appear,aprras-,6,0.6667
to,(o,2,0.5
"""",4,1,1.0
prop,pvoc,4,0.5
up,up,2,0.0
"""",u,1,1.0
an,a,2,0.5
out-,ou,4,0.5
house,houae,5,0.2
of,oc,2,0.5
lords,loralb,5,0.6
should,sloula,6,0.3333
be,br_,2,1.0
abolished,alouolea,9,0.6667
and,aya,3,0.6667
m,mt,1,1.0
ps,",",2,1.0
are,0xq,3,1.0
likely,llslla,6,0.6667
to,4o,2,0.5
turn,a4,4,1.0
down,dow4,4,0.25
the,as_,3,1.0
foot-,+ook,5,0.6
that,hal,4,0.5
labour,laqsl,6,0.6667
should,sloulal,6,0.5
not,4ot,3,0.3333
take,(als,4,0.75
any,_,3,1.0
steps,act,5,1.0
be,62,2,1.0
that,4ua4,4,0.75
as,o>,2,1.0
labour,lalouss,6,0.5
m,m,1,0.0
ps,f,2,1.0
opposed,",",7,1.0
the,oppoard,3,2.3333
forward,foruraa,7,0.5714
nominees,losweqqp,8,0.875
.,78,1,2.0
he,ae_,2,1.0
believes,brlojqa,8,0.75
that,llak,4,0.75
the,fle_,3,1.0
government,go0q54*els,10,0.7
bill,biu,4,0.5
which,ilicl,5,0.6
brought,svouqu,7,0.7143
life,ufe_,4,0.75
peers,pror,5,0.6
griffiths,6,9,1.0
resolution,ff'l,10,0.9
.,mqbouol,1,7.0
mr.,a,3,1.0
foot's,foks,6,0.5
line,lus_,4,0.75
will,wih,4,0.5
support,jappoc$,7,0.5714
",",0,1,1.0
a,laa_,1,3.0
large,uajorky,5,1.0
majority,aq,8,0.875
of,labees,2,3.0
labour,,6,1.0
will,19'u,4,1.0
be,8se,2,1.0
that,{locf,4,1.25
as,qs,2,0.5
labour,labyaw,6,0.5
0m,om,2,0.5
ps,&,2,1.0
opposed,%potccl,7,0.8571
the,hl,3,0.6667
govern-,6ouem,7,0.7143
that,hgoct,4,1.0
labour,kabout,6,0.3333
should,slculd,6,0.3333
not,uoy,3,0.6667
take,{al,4,0.75
any,awl,3,0.6667
steps,skeps,5,0.2
which,ihx),5,0.8
would,iseulef,5,1.0
appear,mppkrou,6,0.8333
to,4o,2,0.5
"""",ptep,1,4.0
prop,%p,4,0.75
up,qu,2,1.0
"""",qu},1,3.0
an,-,2,1.0
out-dated,dgledl,9,0.7778
institution,isksukom,11,0.6364
.,,1,1.0
large,[atje,5,0.6
majority,agjsshy,8,0.75
of,%,2,1.0
labour,kebsur,6,0.5
0m,om,2,0.5
ps,&,2,1.0
are,q6e,3,0.6667
likely,lhely,6,0.3333
to,%o,2,0.5
turn,kum,4,0.75
that,huaf,4,0.75
the,{l,3,1.0
house,houte,5,0.2
of,ef,2,0.5
lords,(ads,5,0.6
should,slould,6,0.1667
be,sxc,2,1.5
abolished,0bclshed,9,0.3333
and,axl,3,0.6667
though,thsugh,6,0.1667
they,#ly,4,0.75
may,^%r,3,1.0
gather,(a,6,0.8333
some,iker,4,1.0
left-wing,som,9,1.0
support,e,7,1.0
",",u-uns,1,5.0
a,suppo,1,5.0
down,docm,4,0.5
the,hle,3,0.6667
foot-griffiths,feot,14,0.7857
resolution,_,10,1.0
.,gs}-hs,1,6.0
mr.,tsclukon_,3,3.0
foot's,h;,6,1.0
line,foofs,4,1.25
ment,inut,4,0.75
bill,"3,1",4,1.0
which,wlc,5,0.6
brought,lyeuygh,7,0.7143
life,uk,4,1.0
peers,prers,5,0.2
into,ik,4,0.75
existence,"exskucc,",9,0.5556
",",yy,1,2.0
they,,4,1.0
should,skiuld,6,0.3333
not,mof,3,0.6667
now,mou,3,0.6667
put,pyx,3,0.6667
forward,dfesalard,7,0.7143
nominees,mom,8,0.75
.,i,1,1.0
he,mces,2,1.5
believes,ike,8,0.75
get,ixt,3,0.6667
together,keackkzc,8,1.0
to,az,2,1.0
face,facc,4,0.25
the,k,3,1.0
challenge,jllw?,9,0.7778
from,from,4,0.0
sir,"s,",3,0.6667
members,aewkes,7,0.5714
.,7he,1,3.0
the,"awue""",3,1.3333
two,alcl,3,1.3333
rival,aoan,5,0.8
african,kaheval:k,7,1.1429
nationalist,,11,1.0
roy,(cy,3,0.6667
welensky,welewky,8,0.25
",",1,1,1.0
the,kk,3,1.0
federal,vedral,7,0.2857
premier,pemier,7,0.1429
.,,1,1.0
parties,tantis,7,0.4286
of,c,2,1.0
northern,norllznn,8,0.5
rhodesia,rldeata,8,0.5
have,{axe,4,0.5
agreed,atrreecl,6,0.6667
to,,2,1.0
peeresses,(peaemeo,9,0.6667
have,mave,4,0.25
been,jeen,4,0.25
created,cealeck,7,0.5714
.,mcx,1,3.0
most,cabsw,4,1.0
labour,,6,1.0
labour,lalow-,6,0.5
has,aas,3,0.3333
to,k,2,1.0
have,mavx,4,0.5
an,cm,2,1.0
adequate,aclequale,8,0.375
number,mlunlet,6,0.8333
of,,2,1.0
sentiment,peuluewl,9,0.7778
would,would,5,0.0
#,#3il,1,3.0
still,{aoou,5,1.0
favour,k,6,1.0
the,eblilicn,3,2.6667
abolition,,9,1.0
of,sf,2,0.5
the,mle,3,0.6667
house,hauno/,5,0.8
of,lotca,2,2.0
lords,",",5,1.0
",",84,1,2.0
but,wlb,3,1.0
while,m,5,1.0
it,rencum,2,3.0
remains,,7,1.0
since,sc,5,0.6
1958,a9sx,4,0.75
",",13,1,2.0
13,laboew,2,3.0
labour,&k,6,1.0
life,eeers,4,1.25
peers,d,5,1.0
and,,3,1.0
of,@q,2,1.0
members,ir_aqss,7,0.8571
.,t4e,1,3.0
the,+lo,3,1.0
two,voa(,3,1.3333
rival,ihica,5,0.8
african,,7,1.0
peeresses,#eooaaq,9,0.8889
have,",",4,1.0
been,laq_,4,1.0
created,beqbl,7,0.8571
.,ckqaleal,1,8.0
most,aa,4,1.0
labour,lalboc,6,0.5
the,ae,3,0.6667
challenge,_,9,1.0
from,challe_~&r,4,2.5
sir,_,3,1.0
roy,fvan,3,1.3333
welensky,s,8,0.875
",",€,1,1.0
of,o,2,0.5
the,ae,3,0.6667
house,_,5,1.0
of,hauee,2,2.5
lords,@8,5,1.0
",",loral,1,5.0
but,~),3,1.0
while,out,5,1.0
it,wlil,2,1.5
remains,14,7,1.0
have,wuq,4,1.0
agreed,_,6,1.0
to,aqneq0,2,3.0
get,al,3,1.0
together,joaelyr),8,0.75
to,40,2,1.0
face,#a&a_,4,1.0
since,siucn_,5,0.6
1958,a4s&,4,1.0
",",43,1,2.0
13,laluc,2,2.5
labour,4fe_,6,1.0
life,teox,4,1.0
peers,auc,5,1.0
and,,3,1.0
the,lue,3,0.6667
federal,_,7,1.0
premier,~feolq3a,7,1.0
.,(,1,1.0
labour,laqo-,6,0.5
has,lcs,3,0.6667
to,jo,2,0.5
have,haue,4,0.25
an,oa,2,1.0
adequate,adequale,8,0.125
number,uuuls,6,0.8333
nationalist,abesomc;,11,0.9091
parties,&,7,1.0
of,poukes,2,2.5
northern,04,8,1.0
rhodesia,njor,8,0.875
sentiment,jexkar~,9,0.8889
would,ialula,5,0.8
still,36u,5,1.0
favour,faucus,6,0.5
the,ao,3,1.0
abolition,_,9,1.0
peeresses,reetesses,9,0.2222
have,haoe,4,0.25
been,leem,4,0.5
created,croledl,7,0.5714
.,hest,1,4.0
most,kebeu,4,1.25
labour,seuksmeul,6,1.3333
sentiment,,9,1.0
since,stm,5,0.8
1958,€,4,1.0
",",&,1,1.0
13,agoy,2,2.0
labour,a3,6,0.8333
life,kabawr,4,1.5
peers,@k,5,1.0
and,?eels,3,1.6667
#,qul,1,3.0
of,9f,2,0.5
lords,pasds,5,0.6
",",but,1,3.0
but,"agh,le",3,2.0
while,6y,5,1.0
it,ke,2,1.0
remains,wm$,7,0.8571
labour,xabeur,6,0.3333
has,kos,3,0.6667
to,yo,2,0.5
challenge,claltegs,9,0.4444
from,fou,4,0.5
sir,y,3,1.0
roy,roy,3,0.0
welensky,`,8,1.0
",",welesky,1,7.0
the,hk,3,0.6667
federal,fedesel,7,0.2857
premier,txtuits,7,0.8571
.,,1,1.0
two,yuo,3,0.6667
rival,sual,5,0.6
african,pkca,7,0.7143
nationalist,nakwnelst,11,0.4545
parties,prkrs,7,0.5714
of,&f,2,0.5
northern,naille,8,0.75
would,w,5,0.8
still,guld,5,0.8
favour,sku,6,0.8333
the,axvau,3,1.6667
abolition,#le,9,0.8889
of,abol-,2,2.0
the,ksm,3,1.0
house,%f,5,1.0
have,ha,4,0.5
an,(e,2,1.0
adequate,qli,8,0.875
number,ad,6,1.0
of,equa/,2,2.5
members,kemule,7,0.7143
.,mwles,1,5.0
the,the,3,0.0
rhodesia,phod,8,0.625
have,s,4,1.0
agreed,koue,6,0.8333
to,apcedl,2,3.0
get,lo,3,1.0
together,dek,8,0.875
to,{x',2,1.5
face,{lu,4,1.0
the,yodce,3,1.3333
party,parhyy,5,0.4
(,(,1,0.0
"280,000","2so,00o",7,0.4286
members,menbu-),7,0.5714
),and,1,3.0
and,hr:,3,1.0
mr.,moltlx,3,1.6667
harry,wkumbula's,5,2.0
nkumbula's,kmcan,10,0.7
african,,7,1.0
to,ko)dlistuvs,2,5.0
discuss,6,7,1.0
a,cmn,1,3.0
common,cuse,6,0.8333
course,0x,6,1.0
of,dchon.,2,2.5
action,silr,6,0.8333
.,rolk,1,4.0
sir,u,3,1.0
roy,,3,1.0
is,,2,1.0
delegates,dluahs,9,0.5556
from,4omn,4,0.75
mr.,ht:,3,1.0
kenneth,kumk,7,0.8571
kaunda's,kadla,8,0.625
united,'s,6,1.0
national,uiled,8,0.875
independence,uatibnal,12,0.9167
violently,iolutus,9,0.5556
opposed,opposed,7,0.0
to,4o,2,0.5
africans,kicus,8,0.625
getting,%ming,7,0.5714
an,am,2,0.5
elected,elcka,7,0.5714
majority,waiorikly,8,0.5
in,m,2,1.0
northern,norahm,8,0.5
rhodesia,"phdesia,",8,0.375
",",buk,1,3.0
but,m,3,1.0
the,lolohial,3,2.3333
colonial,sectrkacyy,8,1.125
secretary,1,9,1.0
",",,1,1.0
national,makhal,8,0.625
congress,lonrus,8,0.5
(,(,1,0.0
"400,000","40o,doo)",7,0.7143
),wil,1,3.0
will,wek,4,0.75
meet,in,4,1.0
in,lohon,2,2.0
london,iodaa,6,0.6667
today,,5,1.0
mr.,hr.,3,0.3333
iain,hin,4,0.5
macleod,"#achud,is",7,1.0
",",inisina,1,7.0
is,on,2,1.0
insisting,&,9,1.0
on,peliclkx,2,4.0
a,ok,1,2.0
policy,chonqe,6,1.0
of,,2,1.0
change,,6,1.0
.,,1,1.0
delegates,@lo_&,9,0.8889
from,ale,4,1.0
mr.,<,3,1.0
kenneth,ge,7,0.8571
kaunda's,ac_,8,0.875
(,(280,1,3.0
"280,000",0o0,7,0.7143
members,q~~dsqa,7,1.0
),),1,0.0
and,a~d,3,0.3333
mr.,hr,3,0.6667
harry,hos,5,0.8
nkumbula's,v5,10,1.0
majority,ajovls,8,0.625
in,i,2,0.5
northern,alr,8,0.875
rhodesia,luqsu,8,0.875
",",t,1,1.0
but,looljia,3,2.3333
the,1,3,1.0
african,aaacac,7,0.5714
national,nja-lena,8,0.625
congress,(,8,1.0
(,ceuque,1,6.0
"400,000",o>,7,1.0
),4oo,1,3.0
will,(,4,1.0
meet,neas,4,0.75
in,loclc,2,2.5
london,lodcey,6,0.6667
today,40,5,1.0
to,ala,2,1.5
discuss,cllao,7,1.0
a,0,1,1.0
common,coulluon,6,0.6667
united,muu,6,1.0
national,leal,8,0.75
independence,njakiena,12,0.75
party,|,5,1.0
colonial,colcuie(,8,0.5
secretary,seavelevs,9,0.6667
",",ar,1,2.0
mr.,iain,3,1.3333
iain,mac,4,0.75
macleod,lqoc,7,0.7143
",",,1,1.0
course,colu3,6,0.6667
of,0,2,1.0
action,aclc,6,0.6667
.,ci~,1,3.0
sir,to4,3,1.0
roy,4,3,1.0
is,oioleuluy,2,4.0
violently,,9,1.0
is,isbt-s,2,2.0
insisting,cm,9,1.0
on,c^,2,1.0
a,polich,1,6.0
policy,clcg&_,6,1.0
of,,2,1.0
change,,6,1.0
.,,1,1.0
opposed,opposed,7,0.0
to,fo,2,0.5
africans,#uca~s,8,0.625
getting,ala,7,1.0
an,cua^,2,1.5
elected,qlocleo,7,0.5714
rhodesia,hodtesia,8,0.25
",",",",1,0.0
but,rut,3,0.3333
the,vue,3,0.6667
colonial,2,8,1.0
secretary,",lcan",9,0.7778
",",^,1,1.0
mr.,cckl,3,1.3333
iain,(cedwial,4,1.75
getting,aobnq,7,0.8571
an,ehcoso,2,3.0
elected,a,7,1.0
majority,uf,8,1.0
in,sho,2,1.5
northern,eeck&,8,1.0
national,nali,8,0.625
independence,nal,12,0.9167
party,inctependuna,5,2.2
(,portx,1,5.0
"280,000",(280'000,7,0.2857
members,metber;,7,0.2857
),,1,1.0
congress,ccn,8,0.75
(,l,1,1.0
"400,000",gra,7,1.0
),ni,1,2.0
will,^,4,1.0
meet,^,4,1.0
in,^,2,1.0
london,(400'o00),6,1.3333
today,will,5,1.0
to,to,2,0.0
discuss,u,7,0.8571
a,cliscuss,1,8.0
common,q,6,1.0
course,ccmmon,6,0.8333
of,oclar,2,2.0
action,je,6,1.0
.,och,1,3.0
macleod,"vacleod,",7,0.2857
",",1,1,1.0
is,inhni,2,2.0
insisting,on,9,0.8889
on,0,2,1.0
a,policy,1,6.0
policy,cf,6,0.8333
of,chane,2,2.5
change,,6,1.0
.,,1,1.0
and,onc,3,0.6667
mr.,|r.,3,0.3333
harry,hamy,5,0.4
nkumbula's,nkumbula,10,0.2
african,',7,1.0
national,afncan,8,0.75
delegates,ddlcqaln,9,0.6667
from,from,4,0.0
mr.,mr.,3,0.0
kenneth,konncth,7,0.2857
kaunda's,"),",8,1.0
united,caunda's,6,1.0
sir,sik,3,0.3333
roy,00,3,1.0
is,ilka,2,1.5
violently,roy,9,0.7778
opposed,o/^,7,0.8571
to,w),2,1.0
africans,tiolenkty,8,1.125
chief,hu},5,0.8
aide,nid,4,0.5
",",),1,1.0
mr.,"m,",3,0.6667
julius,~buuuo,6,0.8333
greenfield,lpeen-heea,10,0.6
",",",",1,0.0
telephoned,telphowd,10,0.3
his,mo,3,1.0
chief,ct,5,0.8
a,o,1,1.0
report,rpoxt,6,0.3333
on,ou,2,0.5
his,mo,3,1.0
talks,talles,5,0.4
with,kth,4,0.5
the,th,3,0.3333
talks,talleo,5,0.6
fall,kal,4,0.5
through,amo,7,0.8571
.,uek,1,3.0
there,thece,5,0.2
are,@s,3,1.0
bound,&,5,1.0
to,to,2,0.0
be,be,2,0.0
demonstrations,dmontrationo,14,0.2143
.,(,1,1.0
"""",vexerloy,1,8.0
yesterday,aa,9,0.8889
sir,"roy""",3,1.3333
roy's,,5,1.0
future,htun,6,0.6667
.,aa,1,2.0
said,mf,4,1.0
mr.,",",3,1.0
nkumbula,nkunbuo,8,0.375
last,lak,4,0.5
night,~gt,5,0.6
:,,1,1.0
mr.,t,3,1.0
macmillan,macmimlan,9,0.1111
at,a,2,0.5
chequers,celruen,8,0.625
.,,1,1.0
"""",lje,1,3.0
we,but,2,1.5
want,to,4,1.0
to,dc,2,1.0
discuss,phat,7,1.0
what,to,4,1.0
to,do,2,0.5
do,it,2,1.0
if,the,2,1.5
the,,3,1.0
sir,poy,3,1.0
roy's,~,5,1.0
united,unite4,6,0.1667
federal,tederal,7,0.1429
party,rox,5,0.8
is,lo,2,1.0
boycotting,boys,10,0.7
the,t,3,0.6667
london,roidol~,6,0.6667
talks,tolleo,5,0.8
on,ow,2,0.5
the,the,3,0.0
protectorate's,pwtectwrake,14,0.4286
british,bntvh,7,0.5714
government,'ouern,10,0.6
gives,ment,5,1.0
in,%6eo,2,2.0
to,i~,2,1.0
sir,to,3,1.0
roy,m(,3,1.0
and,roy,3,1.0
boycotting,baycall'_4,10,0.7
the,jur,3,1.0
london,_,6,1.0
talks,leuac,5,1.0
on,ialk,2,2.0
the,?,3,1.0
do,34,2,1.0
if,iue,2,1.0
the,_,3,1.0
british,bn'lbl,7,0.8571
demonstrations,"deiuonlalhcuo,",14,0.7143
.,4,1,1.0
"""",,1,1.0
sir,si~,3,0.3333
roy's,~ro^,5,0.8
united,9,6,1.0
federal,luu:,7,1.0
party,kal,5,0.8
is,teelesa,2,3.0
protectorate's,yvoleclorale,14,0.5
future,auhiue,6,0.6667
.,cala,1,4.0
said,mr_,4,1.0
mr.,nluubula,3,2.6667
nkumbula,,8,1.0
at,al,2,0.5
chequers,clq_culqb,8,0.875
.,,1,1.0
yesterday,ueoledcy,9,0.5556
sir,si,3,0.3333
roy's,~,5,1.0
chief,t2o4,5,1.0
aide,2,4,1.0
",",cluiq,1,5.0
mr.,€,3,1.0
a,0,1,1.0
report,kporf,6,0.5
on,o,2,0.5
his,hi?,3,0.3333
talks,aalk,5,0.4
with,loi,4,1.0
mr.,l,3,1.0
macmillan,ar,9,0.8889
julius,lulw,6,0.6667
greenfield,6,10,1.0
",",ueeaela,1,7.0
telephoned,1,10,1.0
his,lelq_plcuec,3,3.6667
chief,hia,5,0.6
last,ast,4,0.25
night,uql,5,1.0
:,',1,1.0
"""",m,1,1.0
we,wq_,2,1.0
want,uu,4,1.0
to,lo,2,0.5
discuss,dia,7,0.7143
what,clloa,4,1.25
to,w,2,1.0
british,jsnhsh,7,0.7143
government,goxhmmeez,10,0.6
gives,g'e1,5,0.6
in,im,2,0.5
to,h,2,1.0
sir,5x,3,1.0
roy,~ro:,3,0.6667
and,omd,3,0.6667
the,the,3,0.0
talks,talls,5,0.2
fall,fale,4,0.25
through,uhouah,7,0.4286
.,t,1,1.0
there,ue,5,0.8
are,boulo,3,1.6667
bound,,5,1.0
future,jutkux,6,0.6667
.,.,1,0.0
said,jau,4,0.75
mr.,d,3,1.0
nkumbula,jlin,8,1.0
last,.,4,1.0
night,nkumbula,5,1.4
:,laz,1,3.0
the,the,3,0.0
london,noudon,6,0.3333
talks,talka,5,0.2
on,k,2,1.0
the,the,3,0.0
protectorate's,sptectonl,14,0.6429
chief,qke,5,0.8
aide,lu,4,1.0
",",de,1,2.0
mr.,jus,3,1.0
julius,fukus,6,0.5
greenfield,gseeuheed,10,0.5
",",",",1,0.0
telephoned,tele,10,0.6
macmillan,jlecmuuan,9,0.6667
at,gz,2,1.0
chequers,cheqwux,8,0.5
.,,1,1.0
"""","""",1,0.0
we,we,2,0.0
want,woui,4,0.75
to,k,2,1.0
discuss,ds,7,0.7143
what,@rs,4,1.0
to,wwkal,2,2.5
do,tv,2,1.0
if,obr,2,1.5
the,4,3,1.0
sir,sin,3,0.3333
roy's,"jroy""",5,0.6
united,^,6,1.0
federal,umted,7,0.8571
party,fedu,5,1.0
is,al,2,1.0
boycotting,futy,10,0.9
his,is,3,0.3333
chief,ches,5,0.4
a,q,1,1.0
report,#eojc,6,0.6667
on,ovl,2,1.0
his,hus,3,0.3333
talks,zalks,5,0.2
with,wk',4,0.75
mr.,%,3,1.0
to,k,2,1.0
be,6e,2,0.5
demonstrations,oteuourthol'oua,14,0.7857
.,",",1,1.0
"""",hestudcst,1,9.0
yesterday,zs,9,0.8889
sir,oy,3,1.0
roy's,,5,1.0
to,yo,2,0.5
the,[se,3,0.6667
africans,opycena,8,0.75
and,@n&,3,0.6667
liberals,kibuae,8,0.625
attending,chenwina,9,0.5556
.,tne5e,1,5.0
these,,5,1.0
will,hik,4,0.75
meet,mee,4,0.25
to,f,2,1.0
discuss,t,7,1.0
the,d),3,1.0
function,&en,8,0.875
of,1l,2,1.0
a,e,1,1.0
majority,majorih],8,0.25
they,@heg,4,0.5
are,g€,3,1.0
seeking,pee,7,0.7143
.,knj,1,3.0
african,cfncon,7,0.5714
delegates,uelej,9,0.6667
are,ae,3,0.3333
studying,slud,8,0.625
them,%'7d,4,1.0
today,ken,5,1.0
.,#oded,1,5.0
the,.,3,1.0
conference,7h,10,1.0
plans,iplo,5,0.8
do,a,2,1.0
not,do,3,0.6667
give,no/,4,1.0
the,&ve,3,0.6667
africans,8e,8,1.0
the,ofr,3,1.0
overall,o,7,0.8571
proposed,pre,8,0.625
house,poze,5,0.6
of,c,2,1.0
chiefs,heu,6,0.6667
.,fe,1,2.0
lancaster,koncaa,9,0.6667
house,k,5,1.0
despite,hoce,7,0.8571
the,denp',3,1.6667
crisis,ke,6,1.0
which,/qe,5,1.0
had,0sif,3,1.3333
mr.,ks.,3,0.6667
macleod,moc,7,0.7143
went,(goc,4,1.0
on,uent,2,1.5
with,on,4,1.0
the,uik,3,1.0
conference,he,10,0.9
at,(67,2,1.5
blown,{aon,5,0.6
up,ur,2,0.5
.,he,1,2.0
he,hq,2,0.5
has,no6,3,1.0
now,1euealece,3,3.0
revealed,ks,8,1.0
his,ful,3,1.0
full,plors,4,1.25
plans,,5,1.0
mr.,mc,3,0.6667
macleod,maclead,7,0.1429
went,aaqt,4,0.75
on,a,2,1.0
with,wilu,4,0.5
the,le,3,0.6667
conference,_,10,1.0
at,ol,2,1.0
lancaster,laucasles,9,0.3333
house,aaoq,5,1.0
despite,dqop,7,0.7143
the,ar,3,1.0
crisis,lq_,6,1.0
them,le~,4,0.75
today,toaa',5,0.4
.,te_,1,3.0
the,couloqucq,3,3.0
conference,:,10,1.0
will,6,4,1.0
meet,seqf,4,0.75
attending,allena,9,0.6667
.,q,1,1.0
these,tear_,5,0.8
plans,p(cllr,5,1.0
do,a0,2,1.0
not,lal,3,1.0
give,qior,4,0.75
the,me,3,0.6667
africans,agcclc~>,8,0.875
the,llq,3,1.0
overall,_,7,1.0
majority,ouual,8,0.875
they,nqlor,4,1.25
are,`,3,1.0
house,aaue_,5,0.8
of,04,2,1.0
chiefs,clre,6,0.6667
.,,1,1.0
seeking,seeli~a,7,0.4286
.,ficac,1,5.0
african,dqlq_a,7,0.8571
delegates,alej,9,0.7778
are,0ue_,3,1.0
studying,olua049,8,0.875
to,fo,2,0.5
discuss,dio,7,0.7143
the,cuco,3,1.3333
function,ae,8,1.0
of,_,2,1.0
a,fuckcu,1,6.0
proposed,o0,8,0.875
which,licl,5,0.6
had,lac,3,0.6667
blown,blou,5,0.4
up,4p,2,0.5
.,le_,1,3.0
he,haa,2,1.0
has,lcl,3,1.0
now,~q_uqalqa,3,3.0
revealed,,8,1.0
his,ls,3,0.6667
full,fu4,4,0.5
plans,picll3,5,1.0
to,luq,2,1.5
the,=,3,1.0
africans,afccuo,8,0.625
and,olu,3,1.0
liberals,@,8,1.0
studying,skndying,8,0.25
them,hm,4,0.5
today,fosan,5,0.6
.,the,1,3.0
the,cnkvenc,3,2.0
conference,wll,10,1.0
will,mek,4,1.0
meet,,4,1.0
to,fo,2,0.5
discuss,dlisass,7,0.4286
the,fkk,3,1.0
function,zunction,8,0.125
of,68,2,1.0
a,&,1,1.0
proposed,preposed,8,0.125
house,house,5,0.0
blown,dlowh,5,0.4
up,6p,2,0.5
.,=,1,1.0
he,ite,2,1.0
has,hus,3,0.3333
