index,ground_truth,ocr_output,cer
146,to discuss the function of a proposed House,to discuss the function of a proposed House,0.0
147,blown up . He has now revealed his full plans,blown up . He has now revealed his full plans,0.0
148,to the Africans and Liberals attending . These,to the Africans and Liberals attending . These,0.0
149,plans do not give the Africans the overall majo-,plans do not give the Africans the overall majo-,0.0
150,rity they are seeking . African delegates are,rity they are seeking . African delegates are,0.0
151,Mr. Macleod went on with the conference at,Mr. Macleod went on with the conference at,0.0
152,Lancaster House despite the crisis which had,Lancaster House despite the crisis which had,0.0
153,of Chiefs .,of chiefs .,0.0909
154,secret negotiations on Northern Rhodesia's future .,secret negotiations on Northern Rhodesia's future .,0.0
155,"Minister of the Central African Federation , went","Minister of the Central African Federation , went",0.0
156,in the Commons last night that there have been,in the Commons last night that there have been,0.0
157,to Chequers at the week-end for talks with,to Chequers at the week-end for talks with,0.0
158,"MR. IAIN MACLEOD , the Colonial Secretary , denied","MR. IAIN MACLEOD , the Colonial Secretary , denied",0.0
159,"But representatives of Sir Roy Welensky , Prime","But representatives of Sir Roy Welensky , Prime",0.0
160,The Northern Rhodesia conference in London has,The Northern Rhodesia conference in London has,0.0
161,Mr. Macmillan .,Mr. Macmillan .,0.0
162,been boycotted by the two main settlers' parties -,been boycotted by the two main settlers' parties -,0.0
163,the United Federal Party and the Dominion Party .,the United Federal Party and the Dominion Party .,0.0
164,boycotted by the two main settlers' parties -,boycotted by the two main settlers' parties -,0.0
165,there have been secret negotiations on,there have been secret negotiations on,0.0
166,Party . But representatives of Sir Roy,Party . But representatives of Sir Roy,0.0
167,Rhodesia conference in London has been,Rhodesia conference in London has been,0.0
168,the week-end for talks with Mr. Macmillan .,the week-end for talks with Mr. Macmillan .,0.0
169,the United Federal Party and the Dominion,the United Federal Party and the Dominion,0.0
170,denied in the Commons last night that,denied in the Commons last night that,0.0
171,"Welensky , Prime Minister of the Central","Welensky , Prime Minister of the Central",0.0
172,"African Federation , went to Chequers at","African Federation , went to Chequers at",0.0
173,Northern Rhodesia's future . The Northern,Northern Rhodesia's future . The Northern,0.0
174,"MR. IAIN MACLEOD , the Colonial Secretary ,","MR. IAIN MACLEOD , the Colonial Secretary ,",0.0
175,in the Commons last night that there have,in the Commons last night that there have,0.0
176,"Central African Federation , went to Chequers","Central African Federation , went to Chequers",0.0
177,"Mr. Iain Macleod , the Colonial Secretary , denied","Mr. Iain Macleod , the Colonial Secretary , denied",0.0
178,future . The Northern Rhodesia conference in,future . The Northern Rhodesia conference in,0.0
179,been secret negotiations on the Northern Rhodesia's,been secret negotiations on the Northern Rhodesia's,0.0
180,and the Dominion Party . But representatives,and the Dominion Party . But representatives,0.0
181,London has been boycotted by the two main,London has been boycotted by the two main,0.0
182,settlers' parties - the United Federal Party,settlers' parties - the United Federal Party,0.0
183,at the week-end for talks with Mr. Macmillan .,at the week-end for talks with Mr. Macmillan .,0.0
184,"of Sir Roy Welensky , Prime Minister of the","of Sir Roy Welensky , Prime Minister of the",0.0
185,He said Britain had an obligation to consult the Federal,He said Britain had an obligation to consult the Federal,0.0
186,refusing to sit round the conference table .,refusing to sit round the conference table,0.0455
187,"M Ps yesterday : "" I have no knowledge of secret negotiations . ""","MPs yesterday : "" I have no knowledge of secret negotiations . """,0.0154
188,Government . But the final decision remained with the British,Government . But the final decision remained with the British,0.0
189,"Government . Mr. James Callaghan , Labour's Colonial spokesman ,","Government . Mr. James Callaghan , Labour's Colonial spokesman ,",0.0
190,said Sir Roy had no right to delay progress in the talks by,said Sir Roy had no right to delay progress in the talks by,0.0
191,Mr. Macleod was not at the week-end meeting . But he told,"Mr. Macleod was not at the week-end meeting , But he told",0.0175
192,Northern Rhodesia is a member of the Federation .,Northern Rhodesia is a member of the Federation .,0.0
193,He said Britain had an obligation to consult,He said Britain had an obligation to consult,0.0
194,the Federal Government . But the final,the Federal Government . But the final,0.0
195,"have no knowledge of secret negotiations . ""","have no knowledge of secret negotiations . """,0.0
196,"spokesman , said Sir Roy had no right to","spokesman , said Sir Roy had no right to",0.0
197,"Mr. James Callaghan , Labour's Colonial","Mr. James Callaghan , Labour's Colonial",0.0
198,"meeting . But he told M Ps yesterday : "" I","meeting . But he told MPs yesterday : "" I",0.0238
199,Northern Rhodesia is a member of the Federation .,Northern Rhodesia is a member of the Federation .,0.0
200,decision remained with the British Government .,decision remained with the British Government .,0.0
201,Mr. Macleod was not at the week-end,Mr. Macleod was not at the week-end,0.0
202,delay progress in the talks by refusing,delay progress in the talks by refusing,0.0
203,to sit round the conference table .,to sit round the conference table .,0.0
204,"the Federal Government . Mr. James Callaghan ,","the Federal Government . Mr. James Callaghan ,",0.0
205,Northern Rhodesia is a member of the Fede-,Northern Rhodesia is a member of the Fede-,0.0
206,said Britain had an obligation to consult,said Britain had an obligation to consult,0.0
207,refusing to sit round the conference table .,refusing to sit round the conference table .,0.0
208,"have no knowledge of secret negotiations . "" He","have no knowledge of secret negotiations . "" He",0.0
209,"Labour's Colonial spokesman , said Sir Roy had","Labour's Colonial spokesman , said Sir Roy had",0.0
210,no right to delay progress in the talks by,no right to delay progress in the talks by,0.0
211,ration . Mr. Macleod was not at the week-end,ration . Mr. Macleod was not at the week-end,0.0
212,"meeting . But he told M Ps yesterday : "" I","meeting . But he told MPs yesterday : "" I",0.0238
213,"negotiations with Sir Roy's representative ,","negotiations with Sir Roy's representative ,",0.0
214,"sent from the Government were "" unsatisfac-","sent from the Government were "" unsatisfac-",0.0
215,Mr. Julius Greenfield . He was at Che-,Mr. Julius Greenfield . He was at Che-,0.0
216,day called on Mr. Macmillan to cease his,day called on Mr. Macmillan to cease his,0.0
217,"tory . "" African delegates to the talks yester-","tory . "" African delegates to the talks yester-",0.0
218,parties had refused to attend the talks,parties had refused to attend the talks,0.0
219,Mr. Macleod thought the two Rhodesian,Mr. Macleod thought the two Rhodesian,0.0
220,Sir Roy's Federal Government in the,Sir Roy's Federal Government in the,0.0
221,"regarded with "" growing anger "" the "" gross","regarded with "" growing anger "" the "" gross",0.0
222,"and unconstitutional "" interference by","and unconstitutional "" interference by",0.0
223,quers last week-end . They said they,quers last week-end . They said they,0.0
224,because Sir Roy had found messages,because Sir Roy had found messages,0.0
225,talks .,talks .,0.0
226,interference by Sir Roy's Federal Government in the talks .,interference by Sir Roy's Federal Government in the talks .,0.0
227,had found messages sent from the Government were,had found messages sent from the Government were,0.0
228,at Chequers last week-end . They said they regarded,at Chequers last week-end . They said they regarded,0.0
229,called on Mr. Macmillan to cease his negotiations with,called on Mr. Macmillan to cease his negotiations with,0.0
230,had refused to attend the talks because Sir Roy,had refused to attend the talks because Sir Roy,0.0
231,"with "" growing anger "" the gross and unconstitutional ""","with "" growing anger "" the gross and unconstitutional """,0.0
232,""" unsatisfactory . "" African delegates to the talks yesterday",""" unsatisfactory . "" African delegates to the talks yesterday",0.0
233,Mr. Macleod thought the two Rhodesian parties,Mr. Macleod thought the two Rhodesian parties,0.0
234,"Sir Roy's representative , Mr. Julius Greenfield . He was","Sir Roy's representative , Mr. Julius Greenfield . He was",0.0
235,racial discrimination in Government,racial discrimination in Government,0.0
236,defended the appointment of a Negro as,defended the appointment of a Negro as,0.0
237,strong opposition from the anti-Negro,strong opposition from the anti-Negro,0.0
238,his Housing Minister . It has aroused,his Housing Minister . It has aroused,0.0
239,and State housing projects .,and State housing projects .,0.0
240,Informal talks at Lancaster House will,Informal talks at Lancaster Stone will,0.1053
241,B.Kaufmann,R. Hahnmann,0.5
242,senators of the Deep South . The negro,senators of the Deep South . The negro,0.0
243,resume today . President Kennedy today,resume today . President Kennedy today,0.0
244,is Mr. Robert Weaver of New York . One,is Mr. Robert Weaver of New York . One,0.0
245,of his tasks will be to see there is no,of his tasks will be to see there is no,0.0
246,Deep South . The negro is Mr. Robert #,Deep South . The negro is Mr. Robert #,0.0
247,Weaver of New York . One of his tasks will,Weaver of New York . One of his talks will,0.0238
248,in Government and State housing,in Government and State housing,0.0
249,his Housing Minister . It has aroused strong,his Housing Minister . It has aroused strong,0.0
250,defended the appointment of a Negro as,defended the appointment of a Negro as,0.0
251,projects .,projects .,0.0
252,opposition from the anti-Negro senators of the,opposition from the anti-Negro senators of the,0.0
253,Informal talks at Lancaster House will,Informal talks at Lancaster House will,0.0
254,resume today . PRESIDENT KENNEDY today,resume today . PRESIDENT KENNEDY today,0.0
255,be to see there is no racial discrimination,be to see there is no racial discrimination,0.0
256,the appointment of a Negro as his Housing Minister .,the appointment of a Negro as his Housing Minister .,0.0
257,senators of the Deep South . The negro is Mr.,"senators , of the Deep South . The negro is Mr.",0.0444
258,will be to see there is no racial discrimination,will be to see there is no racial discrimination,0.0
259,in Government and State housing projects .,in Government and State housing projects .,0.0
260,today . PRESIDENT KENNEDY today defended,today . PRESIDENT KENNEDY today defended,0.0
261,It has aroused strong opposition from the anti-Negro,It has aroused strong opposition from the anti-Negro,0.0
262,Informal talks at Lancaster House will resume,Informal talks at Lancaster House will resume,0.0
263,Robert Weaver of New York . One of his tasks,Robert Weaver of New York . One of his tasks,0.0
264,that Weaver once had Communist affiliations .,that Weaver once had Communist affiliations .,0.0
265,"by another Southern Senator - Willis Robertson ,","by another Southern Senator - Willis Robertson ,",0.0
266,off the opposition by telling a television,off the opposition by telling a television,0.0
267,of Virginia - met today in closed session,of Virginia - met today in closed session,0.0
268,"audience it was "" current Washington gossip ""","audience it was "" current Washington gossip """,0.0
269,Robertson later disclosed he had sent a letter,Robertson later disclosed he had sent a letter,0.0
270,to Mr. Kennedy saying he had received several,to Mr. Kennedy saying he had received several,0.0
271,complaints about Weaver's loyalty .,complaints about Weaver's loyalty .,0.0
272,to discuss Weaver's appointment . Senator,to discuss Weaver's appointment . Senator,0.0
273,Senator Allen Ellender of Louisiana sparked,Senator Allen Ellender of Louisiana sparked,0.0
274,"The Senate Banking Committee , which is headed","The Senate Banking Committee , which is headed",0.0
275,discuss Weaver's appointment . Senator,discuss Weaver's appointment . Senator,0.0
276,Virginia - met today in closed session to,Virginia - met today in closed session to,0.0
277,"Southern Senator - Willis Robertson , of","Southern Senator - Willis Robertson , of",0.0
278,"Committee , which is headed by another","Committee , which is headed by another",0.0
279,Robertson later disclosed he had sent a letter,Robertson later disclosed he had sent a letter,0.0
280,to Mr. Kennedy saying he had received,to Mr. Kennedy saying he had received,0.0
281,"Washington gossip "" that Weaver once had","Washington gossip "" that Weaver once had",0.0
282,Communist affiliations . The Senate Banking,Communist affiliations . The Senate Banking,0.0
283,"Senator Allen Ellender , of Louisiana ,","Senator Allen Ellender , of Louisiana ,",0.0
284,"television audience it was "" current","television audience it was "" current",0.0
285,sparked off the opposition by telling a,sparked off the opposition by telling a,0.0
286,"Willis Robertson , of Virginia - met today in","Willis Robertson , of Virginia - met today in",0.0
287,letter to Mr. Kennedy saying he had received several,letter to Mr. Kennedy saying he had received several,0.0
288,"gossip "" that Weaver once had Communist affilia-","gossip "" that Weaver once had Communist affilia-",0.0
289,complaints about Weaver's loyalty .,complaints about Weaver's loyalty .,0.0
290,"Senator Allen Ellender , of Louisiana ,","Senator Allen Ellender , of Louisiana ,",0.0
291,Senator Robertson later disclosed he had sent a,Senator Robertson later disclosed he had sent a,0.0
292,closed session to discuss Weaver's appointment .,closed session to discuss Weaver's appointment,0.0417
293,"tions . The Senate Banking Committee , which","tions . The Senate Banking Committee , which",0.0
294,is headed by another Southern Senator -,is headed by another Southern Senator -,0.0
295,sparked off the opposition by telling a,sparked off the opposition by telling a,0.0
296,"television audience it was "" current Washington","television audience it was "" current Washington",0.0
297,Robertson saying the Federal Bureau of In-,Robertson saying the Federal Bureau of In-,0.0
298,"He believed he would perform "" outstanding","He believed he would perform "" outstanding",0.0
299,He said these concerned Mr. Weaver's,He said these concerned Mr. Weaver's,0.0
300,Mr. Kennedy rushed a letter to Senator,Mr. Kennedy rushed a letter to Senator,0.0
301,committee has to pass Mr. Weaver's,committee has to pass Mr. Weaver's,0.0
302,alleged association with organisations black-,alleged association with organisations black-,0.0
303,"service "" in his post . Senator Robertson's","service "" in his post . Senator Robertson's",0.0
304,vestigation had reported on Mr. Weaver .,vestigation had reported on Mr. Weaver .,0.0
305,nomination before it can be con-,nomination before it can be con-,0.0
306,# sidered by the full Senate .,# sidered by the full Senate .,0.0
307,listed by the Government . Immediately,listed by the Government . Immediately,0.0
308,has to pass Mr. Weaver's nomination before it,has to pass Mr. Weaver's nomination before it,0.0
309,"he would perform "" outstanding service ""","he would perform "" outstanding service """,0.0
310,alleged association with organisations black-,alleged association with organisations black-,0.0
311,listed by the Government . Immediately Mr.,listed by the Government . Immediately Mr.,0.0
312,He said these concerned Mr. Weaver's,He said these concerned Mr. Weaver's,0.0
313,saying the Federal Bureau of Investigation had,saying the Federal Bureau of Investigation had,0.0
314,Kennedy rushed a letter to Senator Robertson,Kennedy rushed a letter to Senator Robertson,0.0
315,reported on Mr. Weaver . He believed,reported on Mr. Weaver . He believed,0.0
316,can be considered by the full Senate .,can be considered by the full Senate .,0.0
317,in his post . Senator Robertson's committee,in his post . Senator Robertson's committee,0.0
318,association with organisations black-listed by the,association with organisations black-listed by the,0.0
319,nomination before it can be considered by the,nomination before it can be considered by the,0.0
320,committee has to pass Mr. Weaver's,committee has to pass Mr. Weaver's,0.0
321,full Senate .,full Senate .,0.0
322,of Investigation had reported on Mr. Weaver .,of Investigation had reported on Mr. Weaver .,0.0
323,He said these concerned Mr. Weaver's alleged,He said these concerned Mr. Weaver's alleged,0.0
324,"He believed he would perform "" outstanding","He believed he would perform "" outstanding",0.0
325,Government . Immediately Mr. Kennedy rushed a letter,Government . Immediately Mr. Kennedy rushed a letter,0.0
326,to Senator Robertson saying the Federal Bureau,to Senator Robertson saying the Federal Bureau,0.0
327,"service "" in his post . Senator Robertson's","service "" in his post . Senator Robertson's",0.0
328,mention personal talks with Dr.,mention personal talks with Dr.,0.0
329,over West Germany's cash offer to help,over West Germany's cash offer to help,0.0
330,Germany to pay more . He did not,Germany to pay more . He did not,0.0
331,not good enough . And he indicated,not good enough . And he indicated,0.0
332,day that the offer - 357million - was,day that the offer - 357million - was,0.0
333,He said bluntly in Washington yester-,He said bluntly in Washington yester-,0.0
334,"Adenauer , the West German Chancellor .","Adenauer , the West German Chancellor .",0.0
335,America's balance of payments position .,America's balance of payments position .,0.0
336,PRESIDENT KENNEDY is ready to get tough,PRESIDENT KENNEDY is ready to get tough,0.0
337,that his Government would try to get,that his Government would try to get,0.0
338,And he indicated that his Government,And he indicated that his Government,0.0
339,PRESIDENT KENNEDY is ready to get tough,PRESIDENT KENNEDY is ready to get tough,0.0
340,would try to get Germany to pay more . He,would try to get Germany to pay more . He,0.0
341,America's balance of payments position . He,America's balance of payments position . He,0.0
342,over West Germany's cash offer to help,over West Germany's cash offer to help,0.0
343,said bluntly in Washington yesterday that,said bluntly in Washington yesterday that,0.0
344,"Adenauer , the West German Chancellor .","Adenauer , the West German Chancellor .",0.0
345,the offer - 357million - was not good enough .,the offer - 357million - was not good enough .,0.0
346,did not mention personal talks with Dr.,did not mention personal talks with Dr.,0.0
347,help America's balance of payments position,help America's balance of payments position,0.0
348,tough over West Germany's cash offer to,tough over West Germany's cash offer to,0.0
349,"talks with Dr. Adenauer , the West","talks with Dr. Adenauer , the West",0.0
350,Government would try to get Germany to,Government would try to get Germany to,0.0
351,He said bluntly in Washington yesterday,He said bluntly in Washington yesterday,0.0
352,pay more . He did not mention personal,pay more . He did not mention personal,0.0
353,German Chancellor .,German Chancellor .,0.0
354,PRESIDENT KENNEDY is ready to get,PRESIDENT KENNEDY is ready to get,0.0
355,that the offer - 357million - was not good,that the offer - 357million - was not good,0.0
356,enough . And he indicated that his,enough . And he indicated that his,0.0
357,due in Washington next week . A big,due in Washington next week . A big,0.0
358,useful . The President will probably,useful . The President will probably,0.0
359,anyway .,any way .,0.125
360,United States officials quickly point out,United States officials quickly point out,0.0
361,"discuss the problem with Dr. Brentano ,","discuss the problem with Dr. Brentano ,",0.0
362,payment of a 210million debt to America .,payment of a 210million debt to America .,0.0
363,"level than in the past "" might be","level than in the past "" might be",0.0
364,"But he said discussions "" on a higher","But he said discussions "" on a higher",0.0
365,"slice of Germany's "" aid "" # is the early","slice of Germany's "" aid "" # is the early",0.0
366,"the West German Foreign Minister , who is","the West German Foreign Minister , who is",0.0
367,that this is money due to America,that this is money due to America,0.0
368,to America anyway .,to America anyway .,0.0
369,"But he said discussions "" on a higher","But he said discussions "" on a higher",0.0
370,"Foreign Minister , who is due in Washington","Foreign Minister , who is due in Washington",0.0
371,is the early payment of a 210million,is the early payment of a 210million,0.0
372,The President will probably discuss the,The President will probably discuss the,0.0
373,"problem with Dr. Brentano , the West German","problem with Dr. Brentano , the West German",0.0
374,"level than in the past "" might be useful .","level than in the past "" might be useful .",0.0
