index,ground_truth,ocr_output,cer
156,in the Commons last night that there have been,i) the (onmong last night Yoat Aee have heer,0.2391
157,to Chequers at the week-end for talks with,4 Cheques at He wet~-ane fov Je lks 1/}8,0.4048
158,"MR. IAIN MACLEOD , the Colonial Secretary , denied","HE. Il) HACLEGD, he Coferval Seorelasy, denritot",0.42
159,"But representatives of Sir Roy Welensky , Prime",Red re je 5274G AVES of Sir ko Wekernslha | ar @,0.5957
160,The Northern Rhodesia conference in London has,The hes Pen khe cltoG Con Rs ence iy Am%» Aog,0.6304
161,Mr. Macmillan .,Ir Hocnu la 4).,0.6667
162,been boycotted by the two main settlers' parties -,heonr bogcoMeck b4 He tio man pelles” poutel -,0.44
163,the United Federal Party and the Dominion Party .,"fie (Luho Feoluc/ Fasy ano fe Yorum last,",0.6327
164,boycotted by the two main settlers' parties -,voc rad by Ma two ua. sebbler pehie -,0.4444
165,there have been secret negotiations on,Inne kave kegny D2_CHQ LRAOh akg On,0.6842
166,Party . But representatives of Sir Roy,"Posty . “Buk wepQseukative, of Suc “Row",0.3684
167,Rhodesia conference in London has been,"“RU Goke ocr cou $230 1 CQ_ a Lorckear, hoo R9Q0 m",0.9737
168,the week-end for talks with Mr. Macmillan .,ban week enh [we talks 1 AR Mv. Mac wu Wer,0.4884
169,the United Federal Party and the Dominion,,1.0
170,denied in the Commons last night that,,1.0
171,"Welensky , Prime Minister of the Central","WIUR ns LY , “Prrece Minislen of 4a. Coulvak",0.525
172,"African Federation , went to Chequers at","Maco. Tecresotie. , werk to Clhaquad ao",0.525
173,Northern Rhodesia's future . The Northern,No ror “Rho davra' ° Dg beak. . Phe NV) ow hes Y,0.7073
174,"MR. IAIN MACLEOD , the Colonial Secretary ,",Kur. VMN MACLEOD | hu Q Colomacr\ SecwQ hoy,0.5349
175,in the Commons last night that there have,th Hhe tommous fast aught that Ahure pave,0.2683
176,"Central African Federation , went to Chequers","litt Aprcon Sedeasyon , weut * Ae 9 wees",0.5111
177,"Mr. Iain Macleod , the Colonial Secretary , denied","In. Tein Sboclecd, the loloral Lesetary doused)",0.42
178,future . The Northern Rhodesia conference in,"futcre, The Nosthivm Kihodinia tripecuce fn",0.4318
179,been secret negotiations on the Northern Rhodesia's,heen betel megoniah ove ou the Northern Shed ia's,0.3137
180,and the Dominion Party . But representatives,"hited Me Lo iirubu Jeriy, et pepeeserilaBve2",0.6364
181,London has been boycotted by the two main,clone Kas teen Goyette % Aw welte,0.561
182,settlers' parties - the United Federal Party,,1.0
183,at the week-end for talks with Mr. Macmillan .,al the weeh- cud Jor tales mite Ms Secuilloy,0.3913
184,"of Sir Roy Welensky , Prime Minister of the",“ Hee Fay Uleerhey Pure Meurer af the,0.5581
185,He said Britain had an obligation to consult the Federal,Re sod Brvioim ok an oAuelurrn 40 Con 4he Feclrent,0.5536
186,refusing to sit round the conference table .,,1.0
187,"M Ps yesterday : "" I have no knowledge of secret negotiations . """,Ps wyrhurdany: \ Vout vo Anode ok Avene negotakiows.”,0.5231
188,Government . But the final decision remained with the British,bomen’. Buk Aha Junok dicurien vurald wilh Ae Bish,0.4918
189,"Government . Mr. James Callaghan , Labour's Colonial spokesman ,","Hovermunt, Hr, Jeunes Ceblagdhon, Labour's (olormad spoken",0.375
190,said Sir Roy had no right to delay progress in the talks by,said Ser Roy Ahok ver tink Ao dilay progrens tm Abe “alk by,0.339
191,Mr. Macleod was not at the week-end meeting . But he told,Kr. Wockuot woo nok oy AL wile end wekung. Bul he oleh,0.4737
192,Northern Rhodesia is a member of the Federation .,NorYrum Whee wa mune ot War Feduoksin.,0.5714
193,He said Britain had an obligation to consult,Me sarod “Bntoary hack ar oli qoak oun tae cceusutlh,0.5909
194,the Federal Government . But the final,Wiig Je Qr>oN GadSiy wach: . Bur Wig Oral,0.7368
195,"have no knowledge of secret negotiations . """,hase uo know \ledeoe_ oF s2acwah ungohareng *,0.5455
196,"spokesman , said Sir Roy had no right to","DPeWre mec | PAW Lec "" Roy hak ua nghk to",0.6
197,"Mr. James Callaghan , Labour's Colonial","Muc . lone. Cataqucn , La®ay 2 Colca",0.5641
198,"meeting . But he told M Ps yesterday : "" I","waolkwa. Bub ba bolA MPs yocdeoray: , J",0.5238
199,Northern Rhodesia is a member of the Federation .,"Mor Wagu Ruot@ecnr io a wenbes at Hoa “Kdavaker,",0.6327
200,decision remained with the British Government .,AQ CADLON w@urcnruer wrk Mie” Brnhish Gooduuwesk,0.7234
201,Mr. Macleod was not at the week-end,Mr ss hac lRaoam wasn nak al 4s. weak —-ennK,0.6
202,delay progress in the talks by refusing,ALL OW PIO BvD «3 ‘om Rug talks by Rhona,0.7436
203,to sit round the conference table .,Lo me yOurnrd Fhe ceoufgamencg 4ctD\.,0.6
204,"the Federal Government . Mr. James Callaghan ,","Hye «= Fedeval Geyevnemenke /4r- James Ca lag Va ,",0.4348
205,Northern Rhodesia is a member of the Fede-,VovHheyn Rhodesia ts a member of the Fede _,0.1667
206,said Britain had an obligation to consult,Saxck = Bilain Ned an obligaton be wnsulh,0.3902
207,refusing to sit round the conference table .,,1.0
208,"have no knowledge of secret negotiations . "" He","have ho fenowledge of Secver Negotiatrows, He",0.2766
209,"Labour's Colonial spokesman , said Sir Roy had","la boor's beloncol Spoke Smet , Our cA Siv Koy Nad",0.4565
210,no right to delay progress in the talks by,Vo yahr - delory prog vw ss In Hy Holle 5 by,0.5476
211,ration . Mr. Macleod was not at the week-end,wetion. Ar Micleod nas wok at tee weekend,0.25
212,"meeting . But he told M Ps yesterday : "" I",meeting . Bul he foll Of & yesterday : on,0.2381
213,"negotiations with Sir Roy's representative ,",,1.0
214,"sent from the Government were "" unsatisfac-",rear from. Hae Yrourrnwment Were \ Umradarpoc -,0.5116
215,Mr. Julius Greenfield . He was at Che-,"Ye, “wus Urceewprrld | Le Lrar ak Che -",0.5263
216,day called on Mr. Macmillan to cease his,"Lowy colled on My, Macumaw bo ee hws",0.4
217,"tory . "" African delegates to the talks yester-","tow"" Apron delegate te Ue Slee ye",0.4681
218,parties had refused to attend the talks,"patito ak refuced. to ofte.d ta Tedd,",0.4359
219,Mr. Macleod thought the two Rhodesian,,1.0
220,Sir Roy's Federal Government in the,Me Roya dard Yourrnurent nn “Hag,0.5714
221,"regarded with "" growing anger "" the "" gross",reqordedk amar Gres Onger Yee 1 avers,0.5814
222,"and unconstitutional "" interference by",,1.0
223,quers last week-end . They said they,pues be Wwetle-bnk » They prorid trey,0.5
224,because Sir Roy had found messages,,1.0
225,talks .,"Coen ,",0.8571
226,interference by Sir Roy's Federal Government in the talks .,bsfomce fy Gb May's fedal lorrnsndf Ade ells,0.5763
227,had found messages sent from the Government were,dl fra hnessoueS sulk Fret Ve Loven teh Wire,0.5833
228,at Chequers last week-end . They said they regarded,at Ck piers lef ead Thy set thy rgahed,0.451
229,called on Mr. Macmillan to cease his negotiations with,called On Ms Mec tulle ke Cease his reaph hs wit,0.4074
230,had refused to attend the talks because Sir Roy,had ye | a alle.A Le Jabs lacie = bey,0.5745
231,"with "" growing anger "" the gross and unconstitutional ""","wih "" goch avg"" th gress od cram hha”",0.5455
232,""" unsatisfactory . "" African delegates to the talks yesterday",‘unsabs fe licen dlecsls e lh lls yonlsy,0.6066
233,Mr. Macleod thought the two Rhodesian parties,My Nheel ead Mbit Le Iu [bodes pris,0.6
234,"Sir Roy's representative , Mr. Julius Greenfield . He was","SI ays sepesahtle, My. Julius Cue fald, Mk we",0.4737
235,racial discrimination in Government,,1.0
236,defended the appointment of a Negro as,ofl! Me apparn bres ofa Neyo a1,0.5263
237,strong opposition from the anti-Negro,a bose copporte Late freee He an Neqec,0.6757
238,his Housing Minister . It has aroused,"be, Movireey a a, aincdee!",0.7568
239,and State housing projects .,af TLS bocce progeck.,0.6071
240,Informal talks at Lancaster House will,"foerra| dalk, wt latrauk Hor well",0.5
241,B.Kaufmann,£ a,0.9
242,senators of the Deep South . The negro,"petra borr of He «ler Iral, Vle niyo",0.6053
243,resume today . President Kennedy today,es frcleucy ferclent Gert bg dela,0.6842
244,is Mr. Robert Weaver of New York . One,ene ktel aie gf Kew Upck. Cou,0.6316
245,of his tasks will be to see there is no,rf Lear feu ka well te Jo see ete a7 be,0.5128
246,Deep South . The negro is Mr. Robert #,Deap Sauk i. The. veqo & Mer. “Raa ©,0.5
247,Weaver of New York . One of his tasks will,Waexrs of Nao York. Gus of Wo talkea wr,0.4524
248,in Government and State housing,mm GOO@DdKwuek er A Shao hanger oy,0.871
249,his Housing Minister . It has aroused strong,ae Womeng Muudes. It has aronrcertrd ashemcy,0.5909
250,defended the appointment of a Negro as,2 Serotec Po APPCnUbuUnt oF a Neaqua an,0.6579
251,projects .,CVA OkD,1.0
252,opposition from the anti-Negro senators of the,opegetion Pon Ma adn - ARqva seuabevs oy Hus,0.587
253,Informal talks at Lancaster House will,femur talks ak laucades Horrroc_ vor,0.5789
254,resume today . PRESIDENT KENNEDY today,y25AAQR  tOMACM. “PRESIDENT KENNEDY odo,0.4474
255,be to see there is no racial discrimination,(ec ly acne Woe vo uo vacraal Sil ee Neely wll ita,0.814
256,the appointment of a Negro as his Housing Minister .,the appatlin of 6 Ngin a5 bis. Hoel Moshe,0.4808
257,senators of the Deep South . The negro is Mr.,nals of ll leh Soa. Th hen i) My.,0.4889
258,will be to see there is no racial discrimination,oy he i Sa2e Hare 15 ho veld d riddle,0.6875
259,in Government and State housing projects .,h ho sek WA hows rojods.,0.6667
260,today . PRESIDENT KENNEDY today defended,lolny. PLESIOENT RENNEDY dol dfd,0.4
261,It has aroused strong opposition from the anti-Negro,T has roused ston ojpysntin froin be cash Nai,0.4231
262,Informal talks at Lancaster House will resume,Lad dalle | oF Bons a ve5u mo,0.7111
263,Robert Weaver of New York . One of his tasks,Lowel Wea yes of New Vode Ove of bus ts,0.4091
264,that Weaver once had Communist affiliations .,fal Were. oa bed Caren! aff balancer,0.6
265,"by another Southern Senator - Willis Robertson ,",hag areller orto Seceche lll feb lay,0.7083
266,off the opposition by telling a television,"rf He oppourlc, bq [Llu q hive,",0.6429
267,of Virginia - met today in closed session,if Vig rta vel foley Ah bh,0.6829
268,"audience it was "" current Washington gossip """,urd (ce a ae “ covrreetl Ulurbercrg lady yoy :,0.7333
269,Robertson later disclosed he had sent a letter,Oe A dL Shih ll cl Se,0.7826
270,to Mr. Kennedy saying he had received several,{b Meereela nage Fe beac! reorec [Serer,0.6667
271,complaints about Weaver's loyalty .,"cotpslarl, lial (Ceetean? (ogathey",0.6857
272,to discuss Weaver's appointment . Senator,ie Sis Bin apperntecrwh ore bee,0.7073
273,Senator Allen Ellender of Louisiana sparked,feicaet fae (hu Wbrle. of aturneasee aperee!,0.7209
274,"The Senate Banking Committee , which is headed",[le ferreele Burehiry Caceretiee ucich ov beacled,0.6304
275,discuss Weaver's appointment . Senator,Macwes Waases > AQ.pecrule Howe. Seuddcar,0.7368
276,Virginia - met today in closed session to,rrr qr rron - wart oorcuy ‘an clomack seeneu to,0.6829
277,"Southern Senator - Willis Robertson , of",Conroy. Sauder — LOLA ees “ RoRpisou | o+,0.725
278,"Committee , which is headed by another",CrrwrHean which vo Wanda by and ed,0.5263
279,Robertson later disclosed he had sent a letter,Raetson Lalas Aioclesaecdd\ be hack aewr A WN,0.587
280,to Mr. Kennedy saying he had received,Lo Me. bani POA Le Wack wdc ver,0.6216
281,"Washington gossip "" that Weaver once had",hawking hom. aonere Hat Wee och. nem,0.625
282,Communist affiliations . The Senate Banking,,1.0
283,"Senator Allen Ellender , of Louisiana ,",enn adlkone AUcn CUucnda : of lowrmea /,0.6667
284,"television audience it was "" current",belo plorseun CUA 22. CQ wt Wore « Curve .,0.8056
285,sparked off the opposition by telling a,,1.0
286,"Willis Robertson , of Virginia - met today in",,1.0
287,letter to Mr. Kennedy saying he had received several,UMD to bw. Keunocy DOU 4 U2 VACA wecergeardr aqueral,0.6154
288,"gossip "" that Weaver once had Communist affilia-","ALCa21e ” Prok Weave oveg, Yad Communi pr ath Wan",0.5625
289,complaints about Weaver's loyalty .,"Acme lout abuutr Weave ° lawa U Kn,",0.6
290,"Senator Allen Ellender , of Louisiana ,","C2 vahkec AVaw EU chor | of Lourat ona ,",0.6154
291,Senator Robertson later disclosed he had sent a,Qarnroter “Pohobey lol@ cdoclosect Ua Yall seuk a,0.6596
292,closed session to discuss Weaver's appointment .,Cleaek acemnceuy to Angauwesd Weaver 2 apporduent.,0.5417
293,"tions . The Senate Banking Committee , which",,1.0
294,is headed by another Southern Senator -,6 ULAKQGA bY angle QRauMean Yonder —,0.6667
295,sparked off the opposition by telling a,oparleck aft Mux opporhiomn Gy Runa ov,0.5641
296,"television audience it was "" current Washington",leLeumen anoiem wb woo Cr wen Wahu st on,0.5957
297,Robertson saying the Federal Bureau of In-,"Lybeahay dey mdf the Tel wef bartay of, ly-",0.619
298,"He believed he would perform "" outstanding",Me telet red he wale) pifom “ri sheurley,0.5952
299,He said these concerned Mr. Weaver's,be aud free Corcvted br. Weavers,0.3611
300,Mr. Kennedy rushed a letter to Senator,Me. Koum ty riabed 4 hte to laate,0.5
301,committee has to pass Mr. Weaver's,,1.0
302,alleged association with organisations black-,"tlleyed aeectatayn OX, tepensen hopes black -",0.5333
303,"service "" in his post . Senator Robertson's",stivvce ° tr hse pot. Sanit Kobertan &,0.4419
304,vestigation had reported on Mr. Weaver .,rh safan Aa typekel or (eo. Wee |,0.625
305,nomination before it can be con-,htee wafer bhefyre A the te lt»,0.6875
306,# sidered by the full Senate .,slew! yioloed ty he A SenaX,0.6333
307,listed by the Government . Immediately,,1.0
