index,ground_truth,ocr_output,cer
70,Rhodesia have agreed to get together to face the,Phod s koUe apcedl Lo dek {x' {lu Yodce {le,0.5833
71,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African","Parhyy ( 2SO,00O menbu-) and Hr: Moltlx Wkumbula's kmcan",0.3966
72,to discuss a common course of action . Sir Roy is,ko)dlistuvs 6 Cmn cuse 0x dchon. Silr Rolk U,0.4694
73,Delegates from Mr. Kenneth Kaunda's United National Independence,Dluahs 4oMn Ht: kumk Kadla 's Uiled Uatibnal Ineependinck,0.4688
74,violently opposed to Africans getting an elected majority,iolutus opposed 4o kicus %Ming aM elckA waiorikly,0.4211
75,"in Northern Rhodesia , but the Colonial Secretary ,","M NorAhm Phdesia, buk M lolohial Sectrkacyy 1",0.4118
76,"National Congress ( 400,000 ) will meet in London today","Makhal lonrus ( 40O,DOO) wil Wek in Lohon IodaA",0.4
77,"Mr. Iain Macleod , is insisting on a policy of change .","Hr. hin #achud,is inisina on & peliclkx ok chonqe",0.4
78,Delegates from Mr. Kenneth Kaunda's,@lo_& ale < Ge Ac_ Veuue_Hl Kauuda,0.6857
79,"( 280,000 members ) and Mr. Harry Nkumbula's",(280 0o0 q~~dsqa ) a~d hr Hos v5 Nkudula,0.5
80,"majority in Northern Rhodesia , but the",ajovls i Alr Luqsu T looljia 1 But Ae _,0.6667
81,"African National Congress ( 400,000 ) will",AAAcac NJa-lena ( Ceuque o> 4oo ( Coo J Liu,0.7143
82,meet in London today to discuss a common,neas Loclc lodcey 40 ala Cllao 0 coulluon,0.725
83,United National Independence Party,Muu Leal NJakiena | ld ereenaleacq _ Pcv Ly,0.7941
84,"Colonial Secretary , Mr. Iain Macleod ,",Colcuie( Seavelevs Ar Iain Mac lqoc,0.4872
85,course of action . Sir Roy is violently,COLU3  0 aclc Ci~ To4 4 oioleuluy,0.6154
86,is insisting on a policy of change .,isbt-s CM C^ polich clcG&_,0.6667
87,opposed to Africans getting an elected,Opposed fo #uca~s aLA cua^ Qlocleo,0.5263
88,"Rhodesia , but the Colonial Secretary , Mr. Iain","hodtesia ,  Rut  Vue 2 ,lcan ^ cckl (cedwial aaln Onl;e screlan} a Nomo hr. lail",1.0
89,getting an elected majority in Northern,aobnq Ehcoso a uf sho eeck& Omajcnly Cetetai Vh korhher,1.0256
90,"National Independence Party ( 280,000 members )",Nali nal Inctependuna Portx (280'000 metber;,0.3191
91,"Congress ( 400,000 ) will meet in London today",Ccn L Gra Ni ^ ^ ^ (400'O00) will Ofnna hna mec t Aani # V 0o m n locton onhM todcly,1.1304
92,to discuss a common course of action .,to U CliScuss Q ccmmon OClAr Je OCh c,0.5789
93,"Macleod , is insisting on a policy of change .","Vacleod, 1 Inhni on 0 policy cf Chane",0.3696
94,and Mr. Harry Nkumbula's African National,Onc |r. Hamy Nkumbula ' Afncan Nahonal,0.2683
95,Delegates from Mr. Kenneth Kaunda's United,"Ddlcqaln from Mr. Konncth ), Caunda's [Oan 'Acin Ulli kecC Ma Di",0.8333
96,Sir Roy is violently opposed to Africans,Sik 00 ILka roy O/^ w) tiolenkty 0i2^ ( V OppsCCL D/ F0 APncans LL ? 19a,1.25
97,"chief aide , Mr. Julius Greenfield , telephoned","hu} nid ) M, ~buuuo lpeen-heea , telphowd",0.4894
98,his chief a report on his talks with,mo ct O Rpoxt ou mo talles kth,0.5278
99,the talks fall through . There are bound,th talleo kal Amo Uek Thece @s & boumd,0.5
100,"to be demonstrations . "" Yesterday Sir Roy's","to be dmontrationo ( Vexerloy AA Roy""",0.3636
101,future . Said Mr. Nkumbula last night :,"htun Aa Mf , Nkunbuo lak ~gt",0.5641
102,Mr. Macmillan at Chequers .,t MacmiMlan a Celruen,0.4444
103,""" We want to discuss what to do if the", LJe but to dc phat to do it the,0.3421
104,Sir Roy's United Federal Party is boycotting,poy ~ Unite4 Tederal RoX Lo boys cottiw3,0.4545
105,the London talks on the Protectorate's,t Roidol~ tolleo Ow the pwtectwrake ' 2,0.5263
106,British Government gives in to Sir Roy and,bntvh 'ouern ment %6eo I~ to M( Roy aa,0.4524
107,boycotting the London talks on the,baycall'_4 Jur _ Leuac Ialk ? O Le,0.7059
108,"do if the British demonstrations . ""","34 iue _ Bn'Lbl deiuonlalhcuo, 4",0.7222
109,Sir Roy's United Federal Party is,Si~  ~Ro^ 9 luu: kal Teelesa ( Fsld,0.7879
110,Protectorate's future . Said Mr. Nkumbula,Yvoleclorale Auhiue Cala Mr_ Nluubula,0.4634
111,at Chequers .,al ClQ_CUlQb,0.7692
112,"Yesterday Sir Roy's chief aide , Mr.",Ueoledcy Si ~ T2o4 2 cluiq  € aiclr Av,0.6944
113,a report on his talks with Mr. Macmillan,0 KporF O hi? Aalk loi L Ar Macuu Ma,0.5
114,"Julius Greenfield , telephoned his chief",lulw 6 ueeAela 1 lelq_plcuec hia @lle $,0.6
115,"last night : "" We want to discuss what to",ast uql ' m Wq_ uu Lo dia Clloa w lal +o,0.6341
116,British Government gives in to Sir Roy,Jsnhsh Goxhmmeez g'e1 Im h 5x ~Ro:,0.6053
117,and the talks fall through . There are bound,omd the talls fale UhouAh T Ue boulo,0.3864
118,future . Said Mr. Nkumbula last night :,Jutkux . Jau d Jlin . Nkumbula laz uug kt,0.5128
119,the London talks on the Protectorate's,the   Noudon talka K the Sptectonl e,0.3947
120,"chief aide , Mr. Julius Greenfield , telephoned","Qke lu de Jus Fukus Gseeuheed , tele hhoveo",0.5106
121,Macmillan at Chequers .,JlecmuUan GZ Cheqwux,0.6087
122,""" We want to discuss what to do if the",""" We woui k ds @rs WWkal tv obr 4 th",0.5263
123,Sir Roy's United Federal Party is boycotting,"Sin JRoy"" ^ Umted Fedu al futy Xs boy Cctlvuq",0.4545
124,his chief a report on his talks with Mr.,"is ches Q #eojc Ovl hus Zalks Wk' % Jh,",0.525
125,"to be demonstrations . "" Yesterday Sir Roy's","k 6e Oteuourthol'ouA , Hestudcst Zs oy",0.6591
126,to the Africans and Liberals attending . These,Yo [Se Opycena @n& kibuae chenwina Tne5e,0.5435
127,will meet to discuss the function of a,hik mee f t d) &en 1L e fn eho c4 Q,0.6053
128,majority they are seeking . African delegates,majorih] @heg G€ Pee knj Cfncon Uelej olej,0.5111
129,are studying them today . The conference,ae Slud %'7d Ken #oded . 7h € Cenhuence,0.55
130,plans do not give the Africans the overall,Iplo a do no/ &Ve 8e Ofr o {h e ovea /,0.5
131,proposed House of Chiefs .,pre poze c Heu fe c8 Uieh_,0.6154
132,Lancaster House despite the crisis which had,koncaa k Hoce denp' ke /qe 0sif uhi 8 hqce,0.5455
133,Mr. Macleod went on with the conference at,Ks. Moc (goc uent On uik he (67 Rence @l,0.5
134,blown up . He has now revealed his full plans,{aon Ur He hq no6 1euealece ks ful plors,0.4222
135,Mr. Macleod went on with the conference,Mc Maclead Aaqt a Wilu Le _ ccu(QJalce_,0.5897
136,at Lancaster House despite the crisis,Ol laucasles Aaoq dqop ar Lq_ Cn x2,0.6757
137,them today . The conference will meet,le~ toaa' Te_ couloQuCQ : 6 seqf,0.6486
138,attending . These plans do not give the,allena q Tear_ p(cllr a0 Lal Qior Me,0.6667
139,Africans the overall majority they are,AGcclc~> LLq _ Ouual nqlor ` L Fea cuq,0.7632
140,House of Chiefs .,Aaue_ 04 Clre,0.7059
141,seeking . African delegates are studying,seeli~a ficac dqlQ_A alej 0ue_ olua049,0.625
142,to discuss the function of a proposed,Fo dio cuco Ae _ fuckcu o0 0 pvopoqol,0.5405
143,which had blown up . He has now revealed,licl Lac Blou 4p Le_ haa LCl ~Q_uQalqa,0.6
144,his full plans to the Africans and Liberals,ls fu4 picll3 Luq = AfcCuo olu @ Li bexcl La,0.7209
145,studying them today . The conference will meet,skndying hm Fosan The cnkvenc wll mek,0.3696
146,to discuss the function of a proposed House,Fo dlisass Fkk Zunction 68 & Preposed House,0.3023
147,blown up . He has now revealed his full plans,Dlowh 6p = Ite hus Mo WJ Vevealed his full plan],0.2889
148,to the Africans and Liberals attending . These,r6 Fhk ARvi cuhs and LiLevals altendin} TheJe,0.3478
149,plans do not give the Africans the overall majo-,plans co wk 4ive kkx ARv: cons Hk OUe Val( mcje,0.5
150,rity they are seeking . African delegates are,riha Fkex ark seekin) Kkrican Aelegabe ) Ave,0.3778
151,Mr. Macleod went on with the conference at,Mr. Macleod wenk Oh wikh Fk wonkerenc ak,0.2619
152,Lancaster House despite the crisis which had,lanesker Hovsz  cespike Hkc Crts;r whicl had,0.3864
153,of Chiefs .,8 €hiels_,0.5455
154,secret negotiations on Northern Rhodesia's future .,"fecel rejoh chon] On Uo,KResn Rhe deaia !{be",0.5686
155,"Minister of the Central African Federation , went","Hunishe c Ine Cenbcl Qfr can Teckee 6'0, 0e7 A",0.551
156,in the Commons last night that there have been,(n Hhe Comnmona Ia} f nijht Jhct [See have been,0.3043
157,to Chequers at the week-end for talks with,bo Cleques 0{ 4he bee k - ene fov Jc Ik r LiAI,0.5
158,"MR. IAIN MACLEOD , the Colonial Secretary , denied",Hp Min HACLE0) 7 #he CoQorc ( Secefd aoue&,0.58
159,"But representatives of Sir Roy Welensky , Prime",Ruk Represenfahvef 04 fx po Delensky] 1 Pnm e,0.4255
160,The Northern Rhodesia conference in London has,The Alen Kho cleoi G Con [8 &ner 17 kmdon hoj,0.6087
161,Mr. Macmillan .,lr Haca Ien-,0.6667
162,been boycotted by the two main settlers' parties -,been bo9Collec b1 K e Ido mch felles poher,0.5
163,the United Federal Party and the Dominion Party .,Kie Uuleol Feckec( Pal @c +he orwax Pa(ly,0.6122
164,boycotted by the two main settlers' parties -,bacy cotted 6K Aq _ Fljo LLLCLLL Rulrr) Pcjkd~,0.7556
165,there have been secret negotiations on,Lloe_ Laur_ beqL aecnel Kraohallca 01,0.6842
166,Party . But representatives of Sir Roy,"(osla ""Put nQ pueaeulot"" ur_ of Cec MQoa",0.7105
167,Rhodesia conference in London has been,Rlocle &'@ ccuJrjqu CQ _ Leuclcx lao RoQasy,0.8684
168,the week-end for talks with Mr. Macmillan .,Aue _ Lorqsl ~eud loc talks wilu Mv Mac u Uc~,0.6279
169,the United Federal Party and the Dominion,Fle_ lulea Fealoa ( Feld aud Ae Duiluic1,0.6585
170,denied in the Commons last night that,Aqllea4 U Lae _ Ccvuucuo laal M6l c Lak,0.7838
171,"Welensky , Prime Minister of the Central",Wclea Pcue_ Aisle) 0f Aus_ Cqucd,0.675
172,"African Federation , went to Chequers at",Acc Teclesaties wr~u 40 Clecuess ay,0.55
173,Northern Rhodesia's future . The Northern,Norlooc Rlodqsia 0 Ahvr Te_ Nor|tesy,0.5366
174,"MR. IAIN MACLEOD , the Colonial Secretary ,",M aim MACLEOD 1 Ae _ Colcmia | Secue lavy,0.4884
175,in the Commons last night that there have,LM kh tommbw larx aqkz thaT the hauc,0.4878
176,"Central African Federation , went to Chequers",Yuutaal Jcan fedeiah 51 weae Ti9 ueta,0.6
177,"Mr. Iain Macleod , the Colonial Secretary , denied","n Jum Jacleod , the lelovtl Jeseterf, deued",0.42
178,future . The Northern Rhodesia conference in,futun . Jh _foxhm Rkodeha Xovteceuce Jm,0.4773
179,been secret negotiations on the Northern Rhodesia's,beeu sec mcqoha Y ox Ov the Jloshwv Rheelesia,0.549
180,and the Dominion Party . But representatives,Qud {he co vumbu 3etvty . Jbud)rtuseulafvts,0.6136
181,London has been boycotted by the two main,Aovdou ha Becu boyeetted 64 I Two MOUM,0.4634
182,settlers' parties - the United Federal Party,hlblexs bose F luukd  Fedua? JBbs,0.7045
183,at the week-end for talks with Mr. Macmillan .,Iez th week ed 40 talhs mtih Jbs _Jlac u Ltou,0.587
184,"of Sir Roy Welensky , Prime Minister of the","# Jh Jy Ietyssk 4 , JaucL  Jumnte % t",0.6512
185,He said Britain had an obligation to consult the Federal,HsaiA Bl/ai had a oligalion /ocomst Ahe Fducu,0.375
186,refusing to sit round the conference table .,Rehuvng k sik rumd 4he bnbertnc Kab-l,0.4545
187,"M Ps yesterday : "" I have no knowledge of secret negotiations . """,M Ps wushurrlal: Ih n Rnoulakt ot secrxk neopolialions _,0.4769
188,Government . But the final decision remained with the British,bbutmew}. Buk Ahx himal duixtn vunhed wilh Ah Bikm,0.541
189,"Government . Mr. James Callaghan , Labour's Colonial spokesman ,","Opvurmm} Hr; Jamu lallahun,babow's lolamial spokesman",0.4062
190,said Sir Roy had no right to delay progress in the talks by,Sad Sr Rous Iad nc tiohl 4o dlolk Ptocyrexs ^n Rne Jalls Ky,0.4407
191,Mr. Macleod was not at the week-end meeting . But he told,Hr Hackod Wdhot al A wuk-end Iulng. But hc Acld,0.4386
192,Northern Rhodesia is a member of the Federation .,Norahem Rhokexia u 0 memrr 0 # Fedralioh,0.4082
193,He said Britain had an obligation to consult,Ae Saic Bniai 4 lao cu oblealle +0 CCUlF,0.5682
194,the Federal Government . But the final,Ls FeoQx| Gousu ueed Bu Lus_ A:xa (,0.7105
195,"have no knowledge of secret negotiations . """,Laur _ 4o huowledar 0f arCn | naoa'el'c@_ M,0.6591
196,"spokesman , said Sir Roy had no right to",Ppobo__MCLL saa S~ Qo4 haa Lo n6w,0.625
197,"Mr. James Callaghan , Labour's Colonial",Mr Joue < Cauaalc Labor 3 Colaiia |,0.4872
198,"meeting . But he told M Ps yesterday : "" I","Loql4: Bel Ks kola M T , aealcad : 4",0.6667
199,Northern Rhodesia is a member of the Federation .,Norlaqu Rhoclqo  c 3 0 axe~bQ oF ilq _ ~Rdqsali ex,0.6939
200,decision remained with the British Government .,Aqciel urluculura Sil Llr  Boli4 Gooou Leasf,0.766
201,Mr. Macleod was not at the week-end,Mr hac lod Was aal al Ls _ Wseqa eu@,0.5714
202,delay progress in the talks by refusing,4elay Pvo &4Q 0 U Mxe_ talhs be  eaue9,0.5641
203,to sit round the conference table .,to 6i8 vound Fle _ ccu(Qeu QQ_ teolr_,0.6
204,"the Federal Government . Mr. James Callaghan ,","Hk ledeval Gobevnmnk , Mr: James @llag ha h",0.3478
205,Northern Rhodesia is a member of the Fede-,Norlherh Rhodesia i5 ^ memlev 62 tk Fede,0.2619
206,said Britain had an obligation to consult,Saic Kribin hod Cn sligakiol k t hs ull,0.439
207,refusing to sit round the conference table .,refusiny ro sik rouna kk Coh Peven & o Ll e,0.4318
208,"have no knowledge of secret negotiations . "" He",uvc ho Vnolskdse o Sccveh njotaki on). li He,0.4894
209,"Labour's Colonial spokesman , said Sir Roy had",Luboorl $ Glowi 6& Sp kSmah 1 21e( Siv Rov had,0.5
210,no right to delay progress in the talks by,Mo Viahr to Ealax prog ve s$ in H kolks 69,0.4286
211,ration . Mr. Macleod was not at the week-end,Va Kion Mr Mac leed Wa } MoF ak Fk Week-end,0.4091
212,"meeting . But he told M Ps yesterday : "" I",Mee kna Bul he toll OM P yeslerday :,0.3571
213,"negotiations with Sir Roy's representative ,",hegotatio h) ~ilh ^ poed 9 reprxtatiie,0.5
214,"sent from the Government were "" unsatisfac-",nent krom the Itpvernient wene K( unaticac,0.3023
215,Mr. Julius Greenfield . He was at Che-,M Muus lteenheld he Lna at Cle,0.4474
216,day called on Mr. Macmillan to cease his,"Laca called OUl W , Macmillaw To Cean lio",0.4
217,"tory . "" African delegates to the talks yester-",ttov^ Arcan  dlesatyo to ( 0 tl talles Yerok,0.5745
218,parties had refused to attend the talks,paxto haa ~hued to attenol t tlks,0.359
219,Mr. Macleod thought the two Rhodesian,M Macleod thouxt the twmo Rlodia ,0.2432
220,Sir Roy's Federal Government in the,Kw Roy ~ Tederl ltuerhmewk M Ale,0.4857
221,"regarded with "" growing anger "" the "" gross",teqareal hb I( Iowin4 ax ~ Me 4,0.6512
222,"and unconstitutional "" interference by",ax uncontltutio hal l Antu &eewce bi,0.3684
223,quers last week-end . They said they,quec? La A heel-eua The mald xhey,0.4167
224,because Sir Roy had found messages,becauoe M( Poy haol  (ound ex,0.4706
225,talks .,talko,0.4286
226,interference by Sir Roy's Federal Government in the talks .,"""kface by S} lv's FLsl Gnnbf x!ke ells",0.6271
227,had found messages sent from the Government were,Aa faxl Ie sSu 'Ys sut   fn Le bovvr bvt Wire,0.6042
228,at Chequers last week-end . They said they regarded,"a/ (kqw> L/ wee/-&x7 , Tky Scd Iky ""r5a42",0.6275
229,called on Mr. Macmillan to cease his negotiations with,Calld On Mv Mcc It Ilu to leop ws nejkhn5 wk,0.5741
230,had refused to attend the talks because Sir Roy,Aed Kl {se d to alk/ Lk Ulks kxcous Si Iloy,0.5106
231,"with "" growing anger "" the gross and unconstitutional """,wil Jialr) anq U( Zk 4 Yo SC G Un Can Shh borali,0.7273
232,""" unsatisfactory . "" African delegates to the talks yesterday","""Ua sakskcky"" abct klsaks to Le Ests Ysk, Jay",0.6066
233,Mr. Macleod thought the two Rhodesian parties,"My , Mle t 4 4k Awo  kholes SIbr parhad",0.6444
234,"Sir Roy's representative , Mr. Julius Greenfield . He was","S} kys #ltsa hfve, 1 M. Jlus Gea FU , Ik W",0.614
235,racial discrimination in Government,tdcel clcluunaEay xia Orveuwest,0.6571
236,defended the appointment of a Negro as,l.6 ( He a/pan lwuL d & Alesl,0.7632
237,strong opposition from the anti-Negro,n kaud sttaLa Kaw H al - Nedte,0.7568
238,his Housing Minister . It has aroused,L Hiul Kuuzle: 44 {na (keullecl,0.7838
239,and State housing projects .,duxcl fake huwuxl bveqeck.,0.7143
240,Informal talks at Lancaster House will,kkamal Jalla &h luuncnk Hour wl,0.5789
241,B.Kaufmann,laxskuas,0.9
242,senators of the Deep South . The negro,"felc . Ix c Hv Ll Jaull, Vhe 6rd",0.7368
243,resume today . President Kennedy today,IxAuune Jalc Pinckel leuec 61  tolay1,0.7368
244,is Mr. Robert Weaver of New York . One,M Kb . Kel[ Wecn ~ 4 Kew Uli . Otu,0.6053
245,of his tasks will be to see there is no,lu  Fck lcll l H fee Khett A) Uc^,0.6154
246,Deep South . The negro is Mr. Robert #,Desp SaulA Tlo _ LQCvo Ar Rabosl,0.6316
247,Weaver of New York . One of his tasks will,Ljqaurs 0f Neln wrh_ Gue _ 4 lo Ialho Wiu,0.6905
248,in Government and State housing,Gourarl C 6 Sk ctr _ hauai~4,0.7097
249,his Housing Minister . It has aroused strong,L4o Hau`~9 Auui&s 4aa arouara JhLncA,0.7045
250,defended the appointment of a Negro as,dq lenolec Ao _ appcAalurht 04 a Neq1o aA,0.5789
251,projects .,p v40k3,0.9
252,opposition from the anti-Negro senators of the,Oppos icm Gau Lo _ cush ~ Alavo seuaovs 0+ @e,0.6739
253,Informal talks at Lancaster House will,hdoruic| +alLl) al Laucasles Hcuve Ll 0,0.5526
254,resume today . PRESIDENT KENNEDY today,MQoulo _ 4oolan . PRESDENT VennbY Aoday,0.5
255,be to see there is no racial discrimination,2 Lo 30 _ Floe_ 1 Uo vadial discnuual'01,0.6047
256,the appointment of a Negro as his Housing Minister .,tk 0 'Ypak4 K % ^ Ns? 0 $ Ls Howsl Mash,0.6923
257,senators of the Deep South . The negro is Mr.,"Sena Ts of | Vep Souk , Tk hadro 1) My.",0.4444
258,will be to see there is no racial discrimination,"wll ke t0 See Ize 1$ ho recinl &,snmhht-",0.5
259,in Government and State housing projects .,"Ih GxeozJ ak   Shke h""s"" yrjeds",0.6429
260,today . PRESIDENT KENNEDY today defended,toloy: PLEsl oEnt kennEoy  Lay Lf4,0.675
261,It has aroused strong opposition from the anti-Negro,has Oronyd Ston opmhtn   fon Ve 6nh_Wayd,0.5769
262,Informal talks at Lancaster House will resume,"Kcv he Ells 0 Loncask, Hlo-x vil Ye Su me",0.6
263,Robert Weaver of New York . One of his tasks,lobz{ Weavu ef Nwv   Yctc  Ox %f k5 Fshs,0.5455
264,that Weaver once had Communist affiliations .,Hal Utcues 4 tel lccc( Cuuuuul ~f LaLacea,0.8
265,"by another Southern Senator - Willis Robertson ,",l allx lulhuu Jxth: Wlb kkab;,0.7708
266,off the opposition by telling a television,"H{ He cybaubu 11 klwc) (( kG uixi,",0.7857
267,of Virginia - met today in closed session,~ (Juy lA iel #ale u c leutcc/ feul1,0.8293
268,"audience it was "" current Washington gossip """,M-lie ice ~lwtu V ceueedl lluluvid lau 4au,0.7556
269,Robertson later disclosed he had sent a letter,k6xbuu k lcGwcl hu hxcl ncla Ukc,0.7609
270,to Mr. Kennedy saying he had received several,k H.leuelq n*411 h Iotc( teoiec/ elkal,0.7111
271,complaints about Weaver's loyalty .,"Celvy laixG"" alc/ (eeute 7 (eyulht",0.7714
272,to discuss Weaver's appointment . Senator,k clucuv Wecue^3 xheunlxuk Sune lan,0.7317
273,Senator Allen Ellender of Louisiana sparked,lek (Ukn Uebl % luiava Apculacl,0.7209
274,"The Senate Banking Committee , which is headed",Tlu feuccl Bculu Cuuulu liG 1 Kaela(,0.7609
