question,reference_answer,student_answer,label,student_answer_noisy,corruption_level
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They looked like salt.,incorrect,Tmey loseedlihke shlt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,correct,"Wb gotisheet whithdifferentkindsofcrystals. So 1 lookedfor the samepicturelikethe cystalandit saidKoshcr sal""r.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,The teacher told us.,incorrect,Tme teaneertohld um.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt is made up of little crystals.,incorrect,Bbcausesaitismade upof little cryerals.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt look like little pieces of a crystal.,incorrect,Bbcausesaitloohkliie little pietesofacrystal.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I knew because they were shaped like kosher salt.,correct,Iknew benuuse thheyyereshapedlwte kosher salt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I knew the crystals were salt by the movie we watched.,incorrect,Iknew rhecrystalhsweae saltby themaviewe watched.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because flour does not turn into crystals.,incorrect,Bbcausefldurdohes nnt turninto trystals.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because salt is a crystal.,incorrect,Bbcausesaitisa crysnal.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,"Because it has a X in the middle, and salt was in it.",incorrect,"Bbcauseithasa Xhinnhe middle,a dsaltwas in it.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,The crystals are kosher salt and kosher salt is salt!,incorrect,Tme cryofals ahre kosaher salt andkoseersaltissalt!,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,By looking at the crystal identification sheet.,incorrect,Bt loaking atthhecrvstal identifwrationsheet.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because we measured them.,incorrect,Bbcausewemeasurehdthnm.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because it was so shiny.,incorrect,Bbcauseitwassoshiny.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They were powdery.,incorrect,Tmey merupowdhery.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because there were little shining things inside and I knew it was salt.,incorrect,Bbcausethurewehre litatle shiningthhngsinside and I knewit wassalt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because we learned it because it was white that is how we knew.,incorrect,Bbcausewelearnedhitbecause it was niitethat ishowwe ksew.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I would know that the crystals were salt is the way how it looks.,incorrect,Iwouldkmdwthahtthecrystals weresatt isthe wayhow ittooks.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We poured the water we left it alone for 2 days and they dry up.,incorrect,Wb polredthewahterye leftit alare for2 daysand theydry up.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,After the water dried we noticed it was Kosher salt.,incorrect,"Atterttuwatehrdr""ed wenoticeditwasKoshersalt.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,By breaking the rock.,incorrect,Bt brcaktngthherosk.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because it tastes like salt.,incorrect,Bbcauseittasteslike shlt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because crystals are a kind of salt.,incorrect,Bbcausecrgstalshareaa kindof sahr.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I looked at them really closely and they looked like crystals and diamonds.,correct,Ilookedifthemhreauly closelya dtheylooked likecrysoalsanddiamonds.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because we looked in the magnifying glass.,incorrect,Bbcausewelookedinthemagnifying glaes.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,correct,Iknew rhecrystalhsweae saltbecauseaf thepatterns and soapes.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,I looked at the chart.,incorrect,Ilookedifthechart.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is harder because it would be all no on the chart.,incorrect,Tapazioharderbecauseit would beahlioon the chart.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is harder. Because topaz is the hardest birthstone.,incorrect,Tapazioharder.hBechusetopaz isthehardest birthstone.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct,"Tapaziohardbehcauseyou cannot scmdtchit withpenny, fwngernailora paperelip.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,M to Z is harder than mineral X and Y.,incorrect,Mto Z osearderhthanmineralX andY.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than X Y Z because we read about it this morning.,incorrect,Ir ishitder thhand Y Z becauseweruadabout it this marning.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than them.,incorrect,Ir ishitder thhanthaem.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is harder than minerals X, Y, and Z because it cannot be scratched by either one.",correct,"Ir ishitder thhanmineralsX, Y, srd Zbecauseit cannotbe scratchedbyeitier,ne.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.,contradictory,AtopaziocomparehdtoZa because itcarnotbe scratched with? thirdsthings.o isall teoppositeof topaz. Xcacnnot se scratchedwithonetherdofantopnz caanotbescratgched.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,The Topaz is the first hardest mineral out of the 3 on the chart.,incorrect,Tme Tapazisthehfirmt hardest mi aralout of the 3 onohe chart.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.",incorrect,"Tapazioharderthan aul of them.Itisjustbarely harder thsn Z, wayharderthmn Y,and rettyharder thanX.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",correct,"Tapazioharderthan X,Y, andZ becahseTopazcannotbescraoched byefingerneil,apeny, er o paperclipsoc it istfre hardest.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Tied with mineral Y because they are both yes, yes, and yes.",contradictory,"Teed miteminehralv because theyaee both yes,yes, andyes.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.",incorrect,"Tapazws""ldbehallno's compared oie minerals X, Y, ande becausetopazisdneofth scratch free mineralsn",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.",correct,"Tapazioharderthan minaeralsX, Y,andsbecause Topaz cansot bescratchedbye fingernil, pennyor apaperclop. So itifsharder.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.",contradictory,"Ir isasoitrochkZ,Ia think itistie same asYbecauseoheycanbothbescretcved yeverything. It isliptleb""at hard toX.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.",correct,"Tapazioharderthan X,Y, andZ becahseitcannotbescratchedby fingernail,m la3er,ormpaperclip.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,correct,Tapaziotheharhdestout of all mindealsbecauseit did nat getscratchedbyenytool.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Like steel if you rub them and if it does not scratch.,incorrect,Leke stoulifyourubthemand ifitdaesnot scratch.,0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,correct,"Ir ishitder thhanhll ofthe otoar minerals because iocannotgetscratched bynone fthescratching materoalsa""rd alltheotherminerals cangetscratchedat leastonetime.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.",correct,"Ir ishitder thhand, Y, Z. I knawttis harder than X.Y,andibecausenoth'ng anscratchit.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",contradictory,"Menerdlshas2 of taem ina papemrlipand penny. And toe Y, Z andtheminaralsYisthehardestin it.",0.2
"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,correct,Ir isttuhardhestbecause it cannotse scratchedby any otthemandthe otherscanbescatchedwithatleast ore oftheminerals.,0.2
